time,x,y,z
4.811,0.09,-1.26,3.21
4.819,0.36,-0.69,3.12
4.828,0.44,-0.16,3.06
4.836,0.32,0.18,2.94
4.845,-0.20,0.17,3.24
4.862,-0.04,0.02,2.45
4.863,-0.04,-0.04,2.61
4.870,0.31,-0.08,1.31
4.878,0.96,0.09,0.69
4.887,1.58,0.35,0.81
4.894,2.21,0.75,1.24
4.904,2.28,1.07,1.71
4.911,2.87,1.43,2.16
4.922,2.52,1.50,2.58
4.928,2.52,1.43,2.70
4.937,1.59,1.14,3.26
4.945,0.79,0.55,2.97
4.963,0.16,-0.04,2.32
4.964,-0.36,-0.30,1.51
4.976,-0.36,-0.41,1.67
4.979,0.23,-0.46,1.95
4.988,0.19,-0.23,2.96
4.996,0.81,0.08,3.59
5.004,1.46,0.36,3.65
5.012,2.03,0.71,3.38
5.020,1.97,0.59,3.51
5.029,2.31,0.89,3.31
5.038,1.94,1.41,3.68
5.045,1.65,2.06,4.05
5.054,1.66,2.77,4.52
5.062,1.89,3.30,4.89
5.070,1.85,3.23,4.94
5.079,1.88,3.52,5.15
5.088,1.58,3.78,5.26
5.101,1.48,3.74,4.83
5.104,1.23,3.66,4.46
5.120,1.05,3.51,3.72
5.121,1.08,3.55,3.66
5.130,1.40,3.27,3.03
5.138,3.44,1.81,-2.95
5.147,5.87,-1.90,-14.42
5.154,0.79,-5.41,-10.35
5.164,-1.47,-4.07,6.90
5.172,-1.67,-1.86,12.63
5.182,-2.48,0.01,9.19
5.188,-2.50,0.09,9.07
5.198,0.67,0.55,0.16
5.217,3.97,-0.81,-0.14
5.218,5.03,-1.38,2.10
5.222,4.07,-0.97,1.43
5.233,4.17,-0.86,1.28
5.240,4.22,-0.82,2.01
5.250,4.47,-1.14,1.36
5.256,3.28,-1.55,0.66
5.265,1.48,-2.09,0.14
5.273,0.37,-2.54,-0.29
5.281,0.40,-2.44,-0.48
5.289,0.21,-2.89,-0.42
5.298,0.51,-3.34,-0.13
5.310,0.54,-3.48,-0.01
5.315,0.36,-3.47,0.36
5.325,0.19,-3.13,0.44
5.331,0.14,-3.07,0.32
5.340,0.33,-2.40,0.35
5.348,0.54,-1.63,0.27
5.357,0.77,-0.94,0.18
5.364,0.99,-0.39,0.29
5.376,1.17,0.14,0.83
5.382,1.14,0.17,0.73
5.396,1.32,0.40,1.20
5.398,1.44,0.62,1.55
5.407,0.76,0.71,1.87
5.415,0.13,0.85,2.27
5.425,0.19,1.03,1.22
5.432,0.11,1.01,0.50
5.442,-0.51,0.62,0.13
5.449,-0.51,0.64,0.03
5.457,-1.28,0.27,-0.15
5.465,-2.09,0.06,-0.52
5.474,-2.45,-0.02,-0.45
5.483,-2.62,0.43,-1.08
5.491,-2.62,0.45,-1.20
5.499,-2.50,0.35,-2.06
5.513,-2.34,0.43,-1.99
5.518,-1.95,0.73,-1.22
5.528,-1.02,0.94,0.68
5.536,-0.33,1.10,1.84
5.541,-0.29,1.11,1.72
5.550,0.15,1.25,1.82
5.557,1.45,1.41,1.08
5.566,3.03,1.67,-0.53
5.574,4.25,1.63,-2.50
5.583,4.04,1.46,-3.60
5.591,3.99,1.45,-3.72
5.599,2.74,0.92,-4.11
5.608,1.06,0.47,-3.49
5.616,-0.73,0.12,-1.73
5.624,-1.70,0.04,-0.18
5.633,-2.19,-0.02,0.32
5.641,-2.22,-0.03,0.26
5.662,-2.00,0.03,-0.08
5.664,-1.57,-0.21,-0.71
5.669,-1.44,-0.68,-0.82
5.676,-1.41,-0.86,-0.28
5.684,-1.34,-0.80,0.08
5.691,-1.40,-0.81,0.35
5.701,-1.44,-0.81,0.30
5.710,-1.28,-0.75,0.26
5.719,-0.96,-0.52,0.02
5.726,-0.30,-0.76,0.12
5.734,-0.15,-1.67,0.34
5.743,-0.65,-2.71,-0.44
5.751,-0.69,-2.71,-0.49
5.761,-1.09,-3.98,-2.37
5.768,-0.78,-4.84,-3.65
5.777,-0.84,-5.48,-3.54
5.785,-1.04,-5.68,-3.72
5.793,-1.34,-5.49,-4.58
5.801,-1.34,-5.48,-4.55
5.823,-1.46,-5.01,-4.99
5.825,-1.53,-4.25,-5.19
5.826,-1.72,-3.49,-5.21
5.835,-1.61,-2.89,-4.98
5.844,-1.40,-2.66,-4.65
5.851,-1.38,-2.64,-4.50
5.861,-1.01,-2.67,-4.30
5.868,-0.77,-3.09,-4.10
5.877,-0.52,-3.55,-3.78
5.885,-0.19,-3.91,-3.35
5.893,0.07,-4.13,-2.89
5.901,0.10,-4.13,-2.68
5.910,0.42,-4.23,-2.27
5.918,0.79,-4.06,-1.76
5.932,1.28,-3.55,-1.14
5.941,1.59,-2.85,-0.49
5.944,2.01,-2.13,0.26
5.952,2.45,-1.51,0.88
5.962,2.49,-1.56,1.12
5.970,2.57,-1.05,1.53
5.979,2.36,-0.79,2.45
5.987,1.92,-0.64,3.15
5.994,1.28,-0.52,3.99
6.003,0.80,-0.40,3.46
6.012,0.80,-0.46,3.63
6.019,0.63,-0.07,2.61
6.028,-0.06,-0.29,2.06
6.036,-0.03,-0.48,1.77
6.045,-0.13,-0.39,1.92
6.053,0.26,0.23,1.60
6.062,0.29,0.14,1.79
6.071,1.14,0.56,1.29
6.078,1.26,0.74,1.53
6.092,1.21,0.62,2.37
6.095,0.87,0.40,3.29
