time,x,y,z
4.820,2.62,-2.16,2.53
4.830,2.36,-1.95,3.54
4.857,2.18,-1.87,4.41
4.858,2.33,-1.87,4.64
4.859,2.66,-1.95,4.33
4.862,2.67,-1.96,4.55
4.868,3.27,-2.29,3.91
4.877,4.12,-2.80,3.03
4.885,4.71,-3.27,1.74
4.892,4.85,-3.77,0.91
4.902,4.51,-3.91,0.58
4.910,4.46,-3.95,0.75
4.918,3.91,-3.39,0.86
4.927,3.19,-2.09,1.31
4.938,2.17,-0.85,2.51
4.943,1.78,0.74,4.72
4.954,1.42,1.71,6.20
4.960,1.39,1.63,6.36
4.970,0.17,1.74,6.47
4.977,-1.59,1.03,6.03
4.994,-2.78,0.72,6.30
4.995,-3.15,1.02,6.48
5.020,-3.27,1.62,6.67
5.022,-3.22,1.59,6.74
5.023,-3.40,2.35,6.98
5.027,-3.72,2.77,7.13
5.035,-3.36,3.01,6.97
5.044,-2.43,3.41,6.67
5.067,-1.72,3.71,6.26
5.068,-0.99,3.91,5.95
5.071,-1.02,3.89,5.94
5.079,-0.41,3.86,5.80
5.085,0.09,3.92,5.36
5.095,0.63,4.46,4.88
5.103,1.04,5.03,4.29
5.112,1.90,5.24,3.53
5.129,1.89,5.24,3.48
5.131,2.34,5.18,2.54
5.137,2.10,4.72,1.51
5.147,2.79,3.58,0.42
5.153,2.87,2.22,-1.37
5.162,4.02,0.41,-3.50
5.170,4.03,0.45,-3.59
5.179,5.16,-1.70,-7.31
5.187,6.82,-4.66,-11.69
5.197,6.93,-7.64,-12.87
5.203,5.62,-9.37,-11.11
5.212,3.56,-8.57,-8.60
5.220,3.52,-8.60,-8.50
5.229,1.70,-5.83,-6.57
5.237,0.76,-2.24,-4.62
5.250,0.30,1.58,-2.48
5.255,0.63,5.09,-0.94
5.275,0.70,6.99,0.07
5.277,0.70,6.96,0.10
5.278,0.46,6.70,0.01
5.287,0.69,5.07,0.28
5.296,1.84,3.29,5.30
5.304,3.57,1.39,9.27
5.312,4.76,-0.61,9.03
5.322,5.64,-3.19,5.98
5.329,5.63,-3.16,5.92
5.340,5.70,-5.66,3.48
5.345,5.91,-6.23,3.70
5.356,4.78,-4.98,4.53
5.362,2.46,-2.27,5.45
5.386,-0.29,-0.13,6.31
5.389,-0.31,-0.12,6.25
5.390,-2.88,1.05,6.66
5.400,-4.31,1.38,7.04
5.405,-4.63,1.30,7.66
5.413,-4.23,1.30,8.64
5.422,-2.32,1.21,9.34
5.429,-2.19,1.30,9.21
5.438,-0.68,0.73,8.98
5.446,-0.36,-0.49,8.43
5.456,-0.32,-2.71,6.26
5.463,-0.61,-5.19,2.50
5.471,-1.47,-6.69,-1.56
5.480,-1.45,-6.63,-1.76
5.488,-1.47,-5.87,-3.71
5.497,-1.26,-3.80,-3.09
5.505,-0.82,-1.40,-1.18
5.513,-0.18,0.57,0.41
5.522,0.37,1.68,1.09
5.531,0.36,1.69,0.98
5.543,0.73,2.21,1.29
5.546,0.80,2.08,1.26
5.555,1.07,1.71,1.41
5.563,0.88,1.16,1.35
5.572,0.45,0.56,1.41
5.583,-0.11,-0.04,1.47
5.589,-0.10,-0.03,1.37
5.599,-0.32,-0.30,1.12
5.605,-1.28,-0.39,-0.22
5.617,-1.64,-0.13,-0.96
5.622,-1.91,0.60,-1.32
5.632,-2.10,1.46,-1.78
5.639,-2.08,1.45,-1.94
5.651,-2.04,2.32,-2.59
5.661,-1.40,2.62,-2.97
5.669,-0.29,2.89,-2.30
5.673,0.74,2.53,-1.16
5.681,1.42,1.61,-0.22
5.689,1.38,1.58,-0.32
5.698,1.69,0.63,0.18
5.706,1.76,-0.25,0.05
5.715,1.50,-1.11,-0.53
5.723,0.78,-1.76,-1.40
5.732,0.07,-2.35,-2.38
5.740,0.02,-2.39,-2.51
5.748,-0.62,-2.96,-3.40
5.756,-0.93,-3.21,-4.36
5.765,-1.10,-3.36,-5.20
5.773,-1.51,-3.64,-5.80
5.787,-2.17,-4.34,-5.67
5.801,-2.21,-4.36,-5.66
5.809,-3.22,-5.36,-4.97
5.810,-4.11,-6.14,-3.62
5.815,-4.31,-6.14,-2.85
5.824,-3.17,-5.14,-3.56
5.832,-1.05,-3.22,-5.55
5.841,1.07,-1.12,-7.92
5.849,1.09,-1.11,-7.89
5.859,1.43,-0.18,-8.90
5.866,0.68,0.01,-6.85
5.876,0.38,-0.23,-6.52
5.883,-0.34,-1.28,-5.71
5.893,-0.73,-2.84,-3.77
5.899,-0.77,-2.82,-3.57
5.908,-1.00,-4.30,-2.27
5.916,-1.48,-5.26,-0.81
5.933,-1.87,-5.48,1.54
5.934,-1.64,-4.64,3.08
5.942,-0.94,-3.62,3.88
5.950,-0.88,-3.58,4.08
5.959,-0.17,-2.87,4.37
5.967,0.62,-2.54,4.20
5.975,1.46,-2.40,3.87
5.983,2.12,-2.48,3.41
5.992,3.04,-2.55,3.08
6.000,3.10,-2.54,3.28
6.009,4.11,-2.70,2.87
6.022,5.14,-2.98,2.65
6.027,5.79,-3.03,2.35
6.037,5.78,-2.80,1.62
6.043,5.36,-2.14,0.83
6.052,5.29,-2.18,0.93
6.059,4.37,-0.82,0.62
6.069,3.89,1.00,0.97
6.076,3.67,2.46,1.57
6.092,3.55,3.34,2.32
6.095,3.53,4.05,3.49
6.129,1.83,3.86,4.24
6.131,1.76,3.77,4.39
6.134,-2.15,1.99,5.15
6.137,-5.39,-0.52,5.29
6.139,-4.74,-0.85,5.95
6.144,-3.53,0.42,6.28
6.155,-3.03,1.81,6.03
6.160,-3.02,1.79,6.07
6.170,-2.08,2.72,6.01
6.177,-0.81,3.42,6.07
6.186,0.10,3.78,5.82
6.196,0.54,3.94,5.79
6.209,0.64,4.22,5.76
6.244,0.60,4.19,5.77
6.246,0.47,4.59,5.44
6.247,0.39,4.99,4.90
6.248,0.37,5.30,4.08
6.248,0.55,5.58,3.06
6.252,0.55,5.32,1.94
6.261,0.53,5.32,1.87
6.269,0.26,4.53,0.79
